text,label,source,language
video sy pta chalta hai ky royal canadian mounted police ky tafteesh karon ny ty hai keh 2023 mai canada mai darjanon janglat ki agg atishzadgi ki waja sy hui thi,fake,rufnd_roman_urdu,roman_urdu
Walmart cycles ko recycle krny ki bajaye $6.95 main farokht kr raha hai,fake,rufnd_roman_urdu,roman_urdu
sadar joe biden israeli sadar ishaq harzog sy mulaqat ky doran so gaye,fake,rufnd_roman_urdu,roman_urdu
elon musk ny is dawye ky jawab mai is pr ghor kr rahy hain tweet ky KKK ny kabhi bhi siyah faam logon k sath kuch galt nhi,fake,rufnd_roman_urdu,roman_urdu
tasweer huston mai ak shahrah dikhati hai,fake,rufnd_roman_urdu,roman_urdu
tasweer mai sabiq sadar donald trump aur jeffri esptein ko larkiyon k sath sofy pe dikhaya gya hai,fake,rufnd_roman_urdu,roman_urdu
actor mark wahlberg ny kaha keh hollywood pedophils ky pas chupny ky liye kahin nhi bacha hai,fake,rufnd_roman_urdu,roman_urdu
FBI ky sabiq agent Ted Genderson ko qatal kr dia gya,fake,rufnd_roman_urdu,roman_urdu
tasaweer sy pta chalta hai keh target bachon par bury agendy ko agy barha raha hai,fake,rufnd_roman_urdu,roman_urdu
florida hayatiyati hatyaron ky motabar saboot ky tor par mRNA vaccine par pabandi lgaye ga,fake,rufnd_roman_urdu,roman_urdu
Mammograms fori tor par lena band kr dyn kyun keh wo purany aur khatarnak hain thermography breast cancer ki janch krny ka mehfuz tareeqa hai,fake,rufnd_roman_urdu,roman_urdu
American Justice department ny bachon ki international sexual smuggling ko apni crime list sy hata dia jo boht zyada tawajah ky mustahiq hain,fake,rufnd_roman_urdu,roman_urdu
barcode ky pehly teen hindson ka dawa krny wali post ap ko btati hai keh product made in china hai gumrahkun hai,fake,rufnd_roman_urdu,roman_urdu
kathua sy video share ki gai jese keh surat mai ehtejaj kr rahy workers viral post gumrahkun hai,fake,rufnd_roman_urdu,roman_urdu
haqaiq ki janch partal viral tasaver jo saman pae fungus dikhati hain wo malaysia ki hain hindustan ki nhi,fake,rufnd_roman_urdu,roman_urdu
swami yogananda ki vodeo swami vivekananda ky naam par share ki ja rahi hain viral dawa jhuta,fake,rufnd_roman_urdu,roman_urdu
saudiarab mai loud speaker par koi pabandi nhi viral dawa gumrahkun hai,fake,rufnd_roman_urdu,roman_urdu
viral video 2017 ky draine samundri tufaan ki hai turkiye ky zalzaly ki nhi,fake,rufnd_roman_urdu,roman_urdu
haqaiq ki janch partal 2020 mai hony wala lebonon dhamaka turkiye ky zalzaly sy jhuta taluq rakhta hai,fake,rufnd_roman_urdu,roman_urdu
pakistan mai hindu mandir ki tor phor ki viral video 2020 ki hai halia nhi hai,fake,rufnd_roman_urdu,roman_urdu
haqaiq ki janch partal ak bachy ki ghass khaty huwe video ka selab ki waja sy pakistan mai khurak ky halia bohraan sy koi taluq nhi hai,fake,rufnd_roman_urdu,roman_urdu
jammu ky light show ka video naagpur ky tor par viral huwa,fake,rufnd_roman_urdu,roman_urdu
russia coin bnany waly ki takhleeq 1921 sy asli american coin ky tor par viral hoti hai,fake,rufnd_roman_urdu,roman_urdu
haqaiq ki janch partal flooded karachi airport par pia ky aircrafts ki landing ki purani video haal hi mai viral hui hai,fake,rufnd_roman_urdu,roman_urdu
muhammad raffie ky gany jannat ki hai tasveer par pabandi nhi lgai gai gumrahkun dawa viral,fake,rufnd_roman_urdu,roman_urdu
poland mai huwe is qatal mamla ka homosexuality sy koi taluq nhi dawa farzi hai,fake,rufnd_roman_urdu,roman_urdu
ariana grande ki shadi ki tasver ko christiano ronaldo ki shadi ky bary mai gumrahkun posts mai tabdeli,fake,rufnd_roman_urdu,roman_urdu
pentagon ky qareeb dhamaka zahir krny ka dawa krny wali AI sy tayar karda tasveer jali hai,fake,rufnd_roman_urdu,roman_urdu
Pakistan ky sabiq wazeer e azam Imran Khan ki AI sy tyar karda tasaver jhuty dawon ky sath viral ho jati hain,fake,rufnd_roman_urdu,roman_urdu
"Dalai Lama, Viladamer Putin, aur Joe Biden ki AI sy tyar krda tasaver jhuty dawon ky sath viral ho jati hain",fake,rufnd_roman_urdu,roman_urdu
"libas mai PM Modi ki tasver jali hai, jisy AI tools ny bnaya hai",fake,rufnd_roman_urdu,roman_urdu
Sabiq sadar Barak Obama ny chef ki biwi par apny shohar tafari campbell ki mot ka ilzam lgany par rad e amal zahir,fake,rufnd_roman_urdu,roman_urdu
amreki navy sales ny san fransisco bay mai 807 bachon ko bachaya jinhen jinsi ghulam bna kr rakha ja raha tha,fake,rufnd_roman_urdu,roman_urdu
Social media posts farzi Haris ky 'iqtebas' ko haqeeqat ky toor pe paish krti hain,fake,rufnd_roman_urdu,roman_urdu
Trump ky galt auto industry tweets,fake,rufnd_roman_urdu,roman_urdu
kya trump american companiyon ko china chorny ka 'hukam' dy skty hain?,fake,rufnd_roman_urdu,roman_urdu
khandani elahdigyion ky bary mai jhut online rehta hai,fake,rufnd_roman_urdu,roman_urdu
Congress ky hami BBC ki jali report ka istemal krty huwe Rahul Gandhi ko almi mayar ka leader qarar dety hain,fake,rufnd_roman_urdu,roman_urdu
Media kis trha na ehal 'senior' sahafiyon ko galt malumat aur jhot phelany ki ijazat deta hai,fake,rufnd_roman_urdu,roman_urdu
viral iqtebas galt tor par mcCarthy sy mansub,fake,rufnd_roman_urdu,roman_urdu
amazon zameen ki 20 fesad oxygen paida nhi krta,fake,rufnd_roman_urdu,roman_urdu
Cadlo ka gair tawun yafta USMCA mulazmaton ka dawa,fake,rufnd_roman_urdu,roman_urdu
"Willamson bachon ki sehat, vaccine k bary mai gumrah krty hain",fake,rufnd_roman_urdu,roman_urdu
civil epstein case ky judge ka march mai inteqal hogya,fake,rufnd_roman_urdu,roman_urdu
maam ny congress ki tankhwahon mai izafa kia,fake,rufnd_roman_urdu,roman_urdu
"video: paris, Warn Michael Brown shooting par",fake,rufnd_roman_urdu,roman_urdu
US Japan tijarti khasara 'tezi sy tabdeel nhi ho raha',fake,rufnd_roman_urdu,roman_urdu
epstein connections sazishi nazriyat ko hawa dy rahy hain,fake,rufnd_roman_urdu,roman_urdu
biden top 1% taxes ki sharah par gumrah krta hai,fake,rufnd_roman_urdu,roman_urdu
Rahul Gandhi Gujrat mai taqreer krty huwe jhut bolty huwe pakry gaye,fake,rufnd_roman_urdu,roman_urdu
PTI ny GST wasuli ky ahdaf par CBEC ky sarbarah ka galt hawalah diya hai?,fake,rufnd_roman_urdu,roman_urdu
kya punjab mai manshiyat ky masail ky aadad o shumar gumrahkun tor par 'awla' thy?,fake,rufnd_roman_urdu,roman_urdu
coal ki nelami ki amdan par business standard article 'kam ho raha hai' sansani khez aur nakis daleel hai,fake,rufnd_roman_urdu,roman_urdu
"scheme hawai adda waqi hindustan ka soowan operational hawai adda hai, ye yahan hai",fake,rufnd_roman_urdu,roman_urdu
Madhiya Pardesh: Rahul Gandhi ny Sardar Patel ky mujasmy par wohi jhut bola,fake,rufnd_roman_urdu,roman_urdu
Japan ky bullet train ky liye funding wapis leny k bary mai congress ky tarjuman national herald ka jhut,fake,rufnd_roman_urdu,roman_urdu
Nedler ny Muller ki gawahi ko galt andaz mai paish kia,fake,rufnd_roman_urdu,roman_urdu
hamal ky doran dil ki dharkanen kab sunai deti hain?,fake,rufnd_roman_urdu,roman_urdu
Muller k nataaij par ak gumrah kun paigam,fake,rufnd_roman_urdu,roman_urdu
trump ky alice island awads ky bary mai jali dawa,fake,rufnd_roman_urdu,roman_urdu
epstein ki mot k baad galt malumat behti hain,fake,rufnd_roman_urdu,roman_urdu
obama ny 'all out gun zabti' ka mutalba nhi kiya,fake,rufnd_roman_urdu,roman_urdu
bar k epstein jail k dory k bary mai be-bunyad dawa,fake,rufnd_roman_urdu,roman_urdu
