Sr. No.,Roman News Items,Label
1,video sy pta chalta hai ky royal canadian mounted police ky tafteesh karon ny ty hai keh 2023 mai canada mai darjanon janglat ki agg atishzadgi ki waja sy hui thi,FAKE
2,Walmart cycles ko recycle krny ki bajaye $6.95 main farokht kr raha hai,FAKE
3,sadar joe biden israeli sadar ishaq harzog sy mulaqat ky doran so gaye,FAKE
4,elon musk ny is dawye ky jawab mai is pr ghor kr rahy hain tweet ky KKK ny kabhi bhi siyah faam logon k sath kuch galt nhi,FAKE
5,tasweer huston mai ak shahrah dikhati hai,FAKE
6,tasweer mai sabiq sadar donald trump aur jeffri esptein ko larkiyon k sath sofy pe dikhaya gya hai,FAKE
7,actor mark wahlberg ny kaha keh hollywood pedophils ky pas chupny ky liye kahin nhi bacha hai,FAKE
8,FBI ky sabiq agent Ted Genderson ko qatal kr dia gya,FAKE
9,tasaweer sy pta chalta hai keh target bachon par bury agendy ko agy barha raha hai,FAKE
10,florida hayatiyati hatyaron ky motabar saboot ky tor par mRNA vaccine par pabandi lgaye ga,FAKE
11,Mammograms fori tor par lena band kr dyn kyun keh wo purany aur khatarnak hain thermography breast cancer ki janch krny ka mehfuz tareeqa hai,FAKE
12,American Justice department ny bachon ki international sexual smuggling ko apni crime list sy hata dia jo boht zyada tawajah ky mustahiq hain,FAKE
13,barcode ky pehly teen hindson ka dawa krny wali post ap ko btati hai keh product made in china hai gumrahkun hai,FAKE
14,kathua sy video share ki gai jese keh surat mai ehtejaj kr rahy workers viral post gumrahkun hai,FAKE
15,haqaiq ki janch partal viral tasaver jo saman pae fungus dikhati hain wo malaysia ki hain hindustan ki nhi,FAKE
16,swami yogananda ki vodeo swami vivekananda ky naam par share ki ja rahi hain viral dawa jhuta,FAKE
17,saudiarab mai loud speaker par koi pabandi nhi viral dawa gumrahkun hai,FAKE
18,viral video 2017 ky draine samundri tufaan ki hai turkiye ky zalzaly ki nhi,FAKE
19,haqaiq ki janch partal 2020 mai hony wala lebonon dhamaka turkiye ky zalzaly sy jhuta taluq rakhta hai,FAKE
20,pakistan mai hindu mandir ki tor phor ki viral video 2020 ki hai halia nhi hai,FAKE
21,haqaiq ki janch partal ak bachy ki ghass khaty huwe video ka selab ki waja sy pakistan mai khurak ky halia bohraan sy koi taluq nhi hai,FAKE
22,jammu ky light show ka video naagpur ky tor par viral huwa,FAKE
