text,label,source,language,text_length,word_count
video sy pta chalta hai ky royal canadian mounted police ky tafteesh karon ny ty hai keh 2023 mai canada mai darjanon janglat ki agg atishzadgi ki waja sy hui thi,fake,rufnd_roman_urdu,roman_urdu,162,31
Walmart cycles ko recycle krny ki bajaye $6.95 main farokht kr raha hai,fake,rufnd_roman_urdu,roman_urdu,71,13
sadar joe biden israeli sadar ishaq harzog sy mulaqat ky doran so gaye,fake,rufnd_roman_urdu,roman_urdu,70,13
elon musk ny is dawye ky jawab mai is pr ghor kr rahy hain tweet ky KKK ny kabhi bhi siyah faam logon k sath kuch galt nhi,fake,rufnd_roman_urdu,roman_urdu,122,28
tasweer huston mai ak shahrah dikhati hai,fake,rufnd_roman_urdu,roman_urdu,41,7
tasweer mai sabiq sadar donald trump aur jeffri esptein ko larkiyon k sath sofy pe dikhaya gya hai,fake,rufnd_roman_urdu,roman_urdu,98,18
actor mark wahlberg ny kaha keh hollywood pedophils ky pas chupny ky liye kahin nhi bacha hai,fake,rufnd_roman_urdu,roman_urdu,93,17
FBI ky sabiq agent Ted Genderson ko qatal kr dia gya,fake,rufnd_roman_urdu,roman_urdu,52,11
tasaweer sy pta chalta hai keh target bachon par bury agendy ko agy barha raha hai,fake,rufnd_roman_urdu,roman_urdu,82,16
florida hayatiyati hatyaron ky motabar saboot ky tor par mRNA vaccine par pabandi lgaye ga,fake,rufnd_roman_urdu,roman_urdu,90,15
Mammograms fori tor par lena band kr dyn kyun keh wo purany aur khatarnak hain thermography breast cancer ki janch krny ka mehfuz tareeqa hai,fake,rufnd_roman_urdu,roman_urdu,141,25
American Justice department ny bachon ki international sexual smuggling ko apni crime list sy hata dia jo boht zyada tawajah ky mustahiq hain,fake,rufnd_roman_urdu,roman_urdu,141,23
barcode ky pehly teen hindson ka dawa krny wali post ap ko btati hai keh product made in china hai gumrahkun hai,fake,rufnd_roman_urdu,roman_urdu,112,22
kathua sy video share ki gai jese keh surat mai ehtejaj kr rahy workers viral post gumrahkun hai,fake,rufnd_roman_urdu,roman_urdu,96,18
haqaiq ki janch partal viral tasaver jo saman pae fungus dikhati hain wo malaysia ki hain hindustan ki nhi,fake,rufnd_roman_urdu,roman_urdu,106,19
swami yogananda ki vodeo swami vivekananda ky naam par share ki ja rahi hain viral dawa jhuta,fake,rufnd_roman_urdu,roman_urdu,93,17
saudiarab mai loud speaker par koi pabandi nhi viral dawa gumrahkun hai,fake,rufnd_roman_urdu,roman_urdu,71,12
viral video 2017 ky draine samundri tufaan ki hai turkiye ky zalzaly ki nhi,fake,rufnd_roman_urdu,roman_urdu,75,14
haqaiq ki janch partal 2020 mai hony wala lebonon dhamaka turkiye ky zalzaly sy jhuta taluq rakhta hai,fake,rufnd_roman_urdu,roman_urdu,102,18
pakistan mai hindu mandir ki tor phor ki viral video 2020 ki hai halia nhi hai,fake,rufnd_roman_urdu,roman_urdu,78,16
haqaiq ki janch partal ak bachy ki ghass khaty huwe video ka selab ki waja sy pakistan mai khurak ky halia bohraan sy koi taluq nhi hai,fake,rufnd_roman_urdu,roman_urdu,135,27
jammu ky light show ka video naagpur ky tor par viral huwa,fake,rufnd_roman_urdu,roman_urdu,58,12
russia coin bnany waly ki takhleeq 1921 sy asli american coin ky tor par viral hoti hai,fake,rufnd_roman_urdu,roman_urdu,87,17
haqaiq ki janch partal flooded karachi airport par pia ky aircrafts ki landing ki purani video haal hi mai viral hui hai,fake,rufnd_roman_urdu,roman_urdu,120,22
muhammad raffie ky gany jannat ki hai tasveer par pabandi nhi lgai gai gumrahkun dawa viral,fake,rufnd_roman_urdu,roman_urdu,91,16
poland mai huwe is qatal mamla ka homosexuality sy koi taluq nhi dawa farzi hai,fake,rufnd_roman_urdu,roman_urdu,79,15
ariana grande ki shadi ki tasver ko christiano ronaldo ki shadi ky bary mai gumrahkun posts mai tabdeli,fake,rufnd_roman_urdu,roman_urdu,103,18
pentagon ky qareeb dhamaka zahir krny ka dawa krny wali AI sy tayar karda tasveer jali hai,fake,rufnd_roman_urdu,roman_urdu,90,17
Pakistan ky sabiq wazeer e azam Imran Khan ki AI sy tyar karda tasaver jhuty dawon ky sath viral ho jati hain,fake,rufnd_roman_urdu,roman_urdu,109,22
"Dalai Lama, Viladamer Putin, aur Joe Biden ki AI sy tyar krda tasaver jhuty dawon ky sath viral ho jati hain",fake,rufnd_roman_urdu,roman_urdu,108,21
"libas mai PM Modi ki tasver jali hai, jisy AI tools ny bnaya hai",fake,rufnd_roman_urdu,roman_urdu,64,14
Sabiq sadar Barak Obama ny chef ki biwi par apny shohar tafari campbell ki mot ka ilzam lgany par rad e amal zahir,fake,rufnd_roman_urdu,roman_urdu,114,23
amreki navy sales ny san fransisco bay mai 807 bachon ko bachaya jinhen jinsi ghulam bna kr rakha ja raha tha,fake,rufnd_roman_urdu,roman_urdu,109,21
